,Timestamp,Load Cell
154,2022-04-02 12:14:21,301585
155,2022-04-02 12:14:21,210231
156,2022-04-02 12:14:21,121926
157,2022-04-02 12:14:22,56560
158,2022-04-02 12:14:22,22281
159,2022-04-02 12:14:22,10610
160,2022-04-02 12:14:22,12945
161,2022-04-02 12:14:22,17805
162,2022-04-02 12:14:22,18010
163,2022-04-02 12:14:22,17102
164,2022-04-02 12:14:22,19539
165,2022-04-02 12:14:22,17299
166,2022-04-02 12:14:22,6730
167,2022-04-02 12:14:23,-2006
168,2022-04-02 12:14:23,-8558
169,2022-04-02 12:14:23,-10075
170,2022-04-02 12:14:23,-5707
171,2022-04-02 12:14:23,-269
172,2022-04-02 12:14:23,3340
173,2022-04-02 12:14:23,7652
174,2022-04-02 12:14:23,9504
175,2022-04-02 12:14:23,9626
176,2022-04-02 12:14:23,10552
177,2022-04-02 12:14:24,12259
178,2022-04-02 12:14:24,15125
179,2022-04-02 12:14:24,18959
180,2022-04-02 12:14:24,24123
181,2022-04-02 12:14:24,26900
182,2022-04-02 12:14:24,27008
183,2022-04-02 12:14:24,26831
184,2022-04-02 12:14:24,26600
185,2022-04-02 12:14:24,23465
186,2022-04-02 12:14:24,17588
187,2022-04-02 12:14:25,16140
188,2022-04-02 12:14:25,19765
189,2022-04-02 12:14:25,21663
190,2022-04-02 12:14:25,20190
191,2022-04-02 12:14:25,20517
192,2022-04-02 12:14:25,23355
193,2022-04-02 12:14:25,24828
194,2022-04-02 12:14:25,24902
195,2022-04-02 12:14:25,24938
196,2022-04-02 12:14:25,25214
197,2022-04-02 12:14:26,24769
198,2022-04-02 12:14:26,23480
199,2022-04-02 12:14:26,23532
200,2022-04-02 12:14:26,22964
201,2022-04-02 12:14:26,20556
202,2022-04-02 12:14:26,18547
203,2022-04-02 12:14:26,17165
204,2022-04-02 12:14:26,16668
205,2022-04-02 12:14:26,16346
206,2022-04-02 12:14:27,16551
207,2022-04-02 12:14:27,16485
208,2022-04-02 12:14:27,16213
209,2022-04-02 12:14:27,16184
210,2022-04-02 12:14:27,15836
211,2022-04-02 12:14:27,15822
212,2022-04-02 12:14:27,16280
213,2022-04-02 12:14:27,16452
